;;;;;;Država;(Multiple Items)
Število zmag;Spol;;;;;;
Država;moški;ženska;Skupaj;;;Zmagovalec;Število zmag
Avstrija;16;17;33;;;moški;47
Švica;7;12;19;;;Marcel Hirscher;7
ZDA;5;7;12;;;Marc Girardelli;5
Švedska;3;3;6;;;Pirmin Zurbriggen;4
Italija;6;;6;;;Gustav Thöni;4
Norveška;5;;5;;;Hermann Maier;4
Luxembourg;5;;5;;;Ingemar Stenmark;3
Francija;3;1;4;;;Aksel Lund Svindal;2
Hrvaška;1;3;4;;;Lasse Kjus;2
Nem?ija;;4;4;;;Stephan Eberharter;2
Liechtenstein;1;2;3;;;Jean-Claude Killy;2
Kanada;;2;2;;;Karl Schranz;2
Slovenija;;1;1;;;Piero Gros;1
Skupaj;52;52;104;;;Paul Accola;1
;;;;;;Alberto Tomba;1
;;;;;;Andreas Wenzel;1
;;;;;;Peter Lüscher;1
;;;;;;Luc Alphand;1
;;;;;;Carlo Janka;1
;;;;;;Benjamin Raich;1
;;;;;;Kjetil André Aamodt;1
;;;;;;Ivica Kosteli?;1
;;;;;;ženska;43
;;;;;;Annemarie Pröll;4
;;;;;;Janica Kosteli?;3
;;;;;;Vreni Schneider;3
;;;;;;Petra Kronberger;3
;;;;;;Anna Fenninger;2
;;;;;;Maria Walliser;2
;;;;;;Annemarie Moser-Pröll;2
;;;;;;Anja Pärson;2
;;;;;;Michela Figini;2
;;;;;;Hanni Wenzel;2
;;;;;;Erika Hess;2
;;;;;;Katja Seizinger;2
;;;;;;Nicole Hosp;1
;;;;;;Renate Götschl;1
;;;;;;Rosi Mittermaier;1
;;;;;;Maria Riesch;1
;;;;;;Michèle Jacot;1
;;;;;;Gertrud Gabl;1
;;;;;;Pernilla Wiberg;1
;;;;;;Marie-Theres Nadig;1
;;;;;;Anita Wachter;1
;;;;;;Michaela Dorfmeister;1
;;;;;;Tina Maze;1
;;;;;;Lara Gut;1
;;;;;;Alexandra Meissnitzer;1
;;;;;;Lise-Marie Morerod;1
;;;;;;Grand Total;90
